,0,나이,성별
341,Bruno Major,30,0
342,블루 (BLOO),28,0
343,IZ*ONE (아이즈원),20,1
344,EXO,30,0
345,백예린 (Yerin Baek),30,1
346,Jeremy Zucker,30,0
347,WOOZI (SEVENTEEN),26,0
348,권진아,26,1
349,크레파스,30,0
350,PL (피엘),30,0
351,T.P RETRO (타디스 프로젝트舊),28,0
352,109,-1,-1
353,잔나비,30,0
354,첸 (CHEN),30,0
355,베이빌론 (Babylon),35,0
356,DJ Khaled,25,0
357,Bruno Mars,37,0
358,pH-1,30,0
359,도겸 (SEVENTEEN),30,0
360,바닐라 어쿠스틱,30,1
361,어쿠루브,30,0
362,펀치 (Punch),30,1
363,김나영,30,1
364,새봄 (saevom),26,1
365,G.Urban (지어반),40,0
366,로시 (Rothy),20,1
367,SOLE (쏠),29,1
368,뉴이스트 W,27,0
369,ASTRO (아스트로),23,0
370,Vernon (SEVENTEEN),20,0
371,비투비,20,0
372,소각소각,30,1
373,Lukas Graham,34,0
374,Ed Sheeran,32,0
375,부석순 (SEVENTEEN),30,0
376,Maroon 5,44,0
377,양정승,48,0
378,나비 (Navi),37,1
379,릴보이 (lIlBOI),30,0
380,"미란이 (MIRANI), 먼치맨(MUNCHMAN), Khundi Panda, 머쉬베놈 (MUSHVENOM)",20,1
381,나플라 (nafla),30,0
382,윤토벤,20,0
383,윤건,20,0
384,황인욱,30,0
385,우디 (Woody),20,0
386,V.O.S,40,0
387,신예영,31,1
388,이우,31,0
389,이예준,30,1
390,장덕철,29,0
391,문문 (MoonMoon),35,0
392,김동률,40,0
393,포맨 (4MEN),43,0
394,문명진,46,0
395,Ne-Yo,43,0
396,김건모,55,0
397,럼블피쉬,40,1
398,트리탑스,40,0
399,"Calvin Harris, Rihanna",35,1
400,숀 (SHAUN),33,0
401,호미들,20,0
402,정동하,43,0
403,에피톤 프로젝트,39,1
404,박미경,57,1
405,Bon Jovi,61,0
406,이날치,40,0
407,M.N.J,30,0
408,"Jon Boden, Sam Sweeney, Ben Coleman",46,0
409,디.베이스,67,0
410,더 크로스,42,0
411,"Martin Garrix, Troye Sivan",28,0
412,Robert De Boron,30,0
413,듀스,40,0
414,V2,53,0
415,바비 킴,50,0
416,"Supreme Team, 영준",44,0
417,박정현,47,1
418,하우스룰즈 (House Rulez),30,0
419,"Brooklyn Bounce, Maurizio Gubellini",50,0
420,Kygo,20,0
